"id","path","media_type","size","modified"
1,"C:\Users\deepa\Desktop\Minor Project Meta Data Agent\data\all\invoices\Invoice_B002PD61Y4.csv","text/plain",441,"1745225812.8511465"
2,"C:\Users\deepa\Desktop\Minor Project Meta Data Agent\data\all\invoices\Invoice_B01M4GGIVU.csv","text/plain",540,"1745225812.895481"
3,"C:\Users\deepa\Desktop\Minor Project Meta Data Agent\data\all\invoices\Invoice_B07JW1Y6XV.csv","text/plain",512,"1745225812.941777"
4,"C:\Users\deepa\Desktop\Minor Project Meta Data Agent\data\all\invoices\Invoice_B07JW9H4J1.csv","text/plain",552,"1745225812.9841623"
5,"C:\Users\deepa\Desktop\Minor Project Meta Data Agent\data\all\invoices\Invoice_B0B1YVCJ2Y.pdf","application/pdf",1525,"1739981922.9882507"
6,"C:\Users\deepa\Desktop\Minor Project Meta Data Agent\data\all\invoices\Invoice_B0B3MMYHYW.pdf","application/pdf",1546,"1739981923.0004091"
7,"C:\Users\deepa\Desktop\Minor Project Meta Data Agent\data\all\invoices\Invoice_B0B4HJNPV4.csv","text/plain",601,"1745225813.1089847"
8,"C:\Users\deepa\Desktop\Minor Project Meta Data Agent\data\all\invoices\Invoice_B0B6F7LX4C.csv","text/plain",486,"1745225813.150675"
9,"C:\Users\deepa\Desktop\Minor Project Meta Data Agent\data\all\reports\Customer_Reviews.pdf","application/pdf",24566,"1739981923.0294926"
10,"C:\Users\deepa\Desktop\Minor Project Meta Data Agent\data\all\reports\Product_Catalog.pdf","application/pdf",19811,"1739981923.020123"
